minute	utc	verdict	ez_online	containers	loop_errs
0	19:22:54	PASS	15	15	0
1	19:23:56	PASS	16	16	0
2	19:24:58	PASS	16	16	0
3	19:26:02	PASS	16	16	0
4	19:27:06	PASS	16	16	0
5	19:28:11	PASS	16	16	0
6	19:29:15	PASS	16	16	0
7	19:30:19	PASS	16	16	0
8	19:31:24	PASS	15	15	0
9	19:32:28	PASS	16	16	0
10	19:33:33	PASS	16	16	0
11	19:34:37	PASS	16	16	0
12	19:35:42	PASS	16	16	0
13	19:36:46	PASS	16	16	0
14	19:37:51	PASS	16	16	0
15	19:38:55	PASS	16	16	0
16	19:40:00	PASS	16	16	0
17	19:41:04	PASS	16	16	0
18	19:42:09	PASS	16	16	0
19	19:43:16	PASS	16	16	0
20	19:44:21	PASS	16	16	0
21	19:45:25	PASS	15	16	0
22	19:46:30	PASS	16	16	0
23	19:47:35	PASS	15	15	0
24	19:48:39	PASS	16	16	0
25	19:49:44	PASS	16	16	0
26	19:56:08	PASS	16	16	0
27	19:57:12	PASS	16	16	0
28	19:58:17	PASS	16	16	0
29	19:59:21	PASS	16	16	0
30	20:00:25	PASS	16	16	0
